iteration,mean_reward,std_reward,mean_log_prob,loss
1,0.0,0.0,-346.8339,-0.0
2,0.0,0.0,-333.926,-0.0
3,0.0,0.0,-340.7415,-0.0
4,0.0,0.0,-338.0241,-0.0
5,0.0,0.0,-351.1084,-0.0
6,0.0,0.0,-358.6066,-0.0
7,0.0,0.0,-359.929,-0.0
8,0.0,0.0,-365.4458,-0.0
9,0.0,0.0,-342.3446,-0.0
10,0.0,0.0,-346.0922,-0.0
11,0.0,0.0,-338.9212,-0.0
12,0.0,0.0,-331.3753,-0.0
13,0.0,0.0,-357.9245,-0.0
14,0.0,0.0,-355.3074,-0.0
15,0.0,0.0,-329.5558,-0.0
16,0.0,0.0,-354.868,-0.0
17,0.0,0.0,-343.5732,-0.0
18,0.0,0.0,-344.3749,-0.0
19,0.0,0.0,-334.7764,-0.0
20,0.0,0.0,-350.474,-0.0
