sample_id,model,pitch_diversity,rhythm_score,note_density,rep_penalty,total_reward,human_score_simulated
1,pre_rl,0.0,0.0,0.0,0.0,0.0,1.0
2,pre_rl,0.0,0.0,0.0,0.0,0.0,1.0
3,pre_rl,0.0,0.0,0.0,0.0,0.0,1.0
4,pre_rl,0.0,0.0,0.0,0.0,0.0,1.0
5,pre_rl,0.0,0.0,0.0,0.0,0.0,1.0
6,pre_rl,0.0,0.0,0.0,0.0,0.0,1.0
7,pre_rl,0.0,0.0,0.0,0.0,0.0,1.0
8,pre_rl,0.0,0.0,0.0,0.0,0.0,1.0
9,pre_rl,0.0,0.0,0.0,0.0,0.0,1.0
10,pre_rl,0.0,0.0,0.0,0.0,0.0,1.0
1,post_rl,0.0,0.0,0.0,0.0,0.0,1.0
2,post_rl,0.0,0.0,0.0,0.0,0.0,1.0
3,post_rl,0.0,0.0,0.0,0.0,0.0,1.0
4,post_rl,0.0,0.0,0.0,0.0,0.0,1.0
5,post_rl,0.0,0.0,0.0,0.0,0.0,1.0
6,post_rl,0.0,0.0,0.0,0.0,0.0,1.0
7,post_rl,0.0,0.0,0.0,0.0,0.0,1.0
8,post_rl,0.0,0.0,0.0,0.0,0.0,1.0
9,post_rl,0.0,0.0,0.0,0.0,0.0,1.0
10,post_rl,0.0,0.0,0.0,0.0,0.0,1.0
